Abatement cost	nhiễm)
Ability and earnings	Năng lực và thu nhập
Ability to pay	Khả năng chi trả.
Ability to pay theory	Lý thuyết về khả năng chi trả
Abnormal profits	Lợi nhuận dị thường
Abscissa	Hoành độ
Absenteeism	do
Absentee landlord	biệt
Absolute advantage	Lợi thế tuyệt đối.
Absolute cost advantage	Lợi thế nhờ phí tổn tuyệt đối.
Absolute income hypothesis	Giả thuyết thu nhập tuyệt đối.
Absolute monopoly	Độc quyền tuyệt đối.
Absolute prices	Giá tuyệt đối.
Absolute scarcity	Khan hiếm tuyệt đối .
Absolute value	Giá trị tuyệt đối.
Absorption approach	Phương pháp hấp thu.
Abstinence	Nhịn chi tiêu.
Accelerated depreciation	tốc.
Accelerating inflation	Lạm phát gia tốc.
Accelerator	Gia số
Accelerator coefficient	Hệ số gia tốc.
Accelerator effect	Hiệu ứng gia tốc.
Accelerator principle	Nguyên lý gia tốc.
Acceptance	chấp nhận thanh toán.
Accepting house	Ngân hàng nhận trả.
Accesion rate	Tỷ lệ gia tăng lao động.
Accesions tax	Thuế quà tặng.
Access/space trade - off model	mô hình tiếp cận.
Accommodating monetary policy	Chính sách tiền tệ điều tiết.
Accommodation transactions	Các giao dịch điều tiết.
Account	Tài khoản.
Accrued expenses	Chi phí phát sinh (tính trước).
Achieving Society, the.	Xã hội thành đạt.
Across-the-board tariff changes	Thay đổi thuế quan đồng loạt.
Action lag	Độ trễ của hành động.
Active balance	Dư nghạch.
Activity analysis	Phân tích hoạt động.
Activity rate	Tỷ lệ lao động.
Adaptive expectation	theo
Adding up problem	Vấn đề cộng tổng.
Additional worker hypothesis	Giả thuyết công nhân thêm vào.
Addition rule	Quy tắc cộng.
Additive utility function	Hàm thoả dụng phụ trợ.
Address principle	Nguyên lý địa chỉ.
Adjustable peg regime	Chế độ điều chỉnh hạn chế.
Adjustable peg system	thể điều chỉnh.
Adjustment cost	Chi phí điều chỉnh sản xuất.
Adjustment lag	Độ trễ điều chỉnh.
Adjustment process	Quá trình điều chỉnh
Administered prices	Các mức giá bị quản chế.
Administrative lag	Độ trễ do hành chính
Advalorem tax	Thuế theo giá trị.
Advance	Tiền ứng trước.
Advance Corporation Tax (ACT)	Thuế doanh nghiệp ứng trước.
Advance refunding	Hoàn trả trước.
Advanced countries	đầu.
Adverse balance	Cán cân thâm hụt.
Adverse selection	hướng bất lợi.
Advertising	Quảng cáo.
Advertising - sale ratio	Tỷ lệ doanh số-quảng cáo.
AFL-CIO	OF LABOR.
Age-earning profile	Biểu quan hệ thu nhập theo tuổi
Development	Cơ quan phát triển quốc tế.
Agency shop	Nghiệp đoàn.
Agglomeration economies	Tính kinh tế nhờ kết khối.
Aggregate concentration	Sự tập trung gộp.
Adverse supply shock	Cú sốc cung bất lợi.
Aggregate demand	Cầu gộp; Tổng cầu
Aggregate demand curve	Đường cầu gộp; Đường tổng cầu
Aggregate demand shedule	Biểu cầu gộp; Biểu tổng cầu
Aggregate expenditure	Chi tiêu gộp.
Aggregate income	Thu nhập gộp; Tổng thu nhập
Aggregate output	Sản lượng gộp.
Aggregate production function	Hàm sản xuất gộp.
Aggregate supply curve	cung.
Aggregation problem	Vấn đề về phép gộp.
Agrarian revolution	Cách mạng nông nghiêp.
Agricultural earnings	Các khoản thu từ nông nghệp.
Agricultural exports	Nông sản xuất khẩu
Agricultural lag	Đỗ trễ của nông nghiệp
Agricultural livies	Thuế nông nghiệp.
Agricultural reform	Cải cách nông nghiệp.
Agricultural sector	Khu vực nông nghiệp.
Conservation Service	nông nghiệp.
Agricultural subsidies	Khoản trợ cấp nông nghiệp.
Agricultural Wage Boards	nghiệp.
Aid	Viện trợ
Aitken estimator	Ước lượng số Aitken.
Alienation	Sự tha hoá
Douglas(1906-1983)	1906-1983
Allocate	Phân bổ, ấn định
Allocation funtion	Chức năng phân bổ
